strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,0,100.0000,0,0.0000,0.0000,0
AlwaysLong,1,100.7999,0,0.1619,0.1619,0
AlwaysLong,2,100.9631,0,0.9522,1.1141,0
AlwaysLong,3,101.9244,0,1.8397,2.9538,0
AlwaysLong,4,103.7996,0,0.0659,3.0197,0
AlwaysLong,5,103.8679,0,0.0659,3.0856,0
AlwaysLong,6,103.9364,0,1.8970,4.9825,0
AlwaysLong,7,105.9080,0,1.0732,6.0557,0
AlwaysLong,8,107.0446,0,-0.1693,5.8864,0
AlwaysLong,9,106.8633,0,0.8461,6.7325,0
AlwaysLong,10,107.7675,0,-0.1633,6.5692,0
AlwaysLong,11,107.5916,0,-0.1656,6.4036,0
AlwaysLong,12,107.4134,0,0.5434,6.9470,0
AlwaysLong,13,107.9971,0,-1.6003,5.3467,0
AlwaysLong,14,106.2688,0,-1.4148,3.9319,0
AlwaysLong,15,104.7653,0,-0.2619,3.6699,0
AlwaysLong,16,104.4909,0,-0.7103,2.9596,0
AlwaysLong,17,103.7487,0,0.6161,3.5758,0
AlwaysLong,18,104.3879,0,-0.6062,2.9696,0
AlwaysLong,19,103.7551,0,-1.1061,1.8635,0
AlwaysLong,20,102.6074,0,1.7813,3.6448,0
AlwaysLong,21,104.4352,0,0.0743,3.7190,0
AlwaysLong,22,104.5128,0,0.3682,4.0873,0
AlwaysLong,23,104.8976,0,-1.1184,2.9688,0
AlwaysLong,24,103.7244,0,-0.2441,2.7247,0
AlwaysLong,25,103.4712,0,0.4118,3.1365,0
AlwaysLong,26,103.8972,0,-0.8474,2.2891,0
AlwaysLong,27,103.0168,0,0.6780,2.9671,0
AlwaysLong,28,103.7153,0,-0.3002,2.6669,0
AlwaysLong,29,103.4039,0,0.0083,2.6752,0
AlwaysLong,30,103.4125,0,-0.3013,2.3740,0
AlwaysLong,31,103.1010,0,2.1756,4.5496,0
AlwaysLong,32,105.3441,0,0.2869,4.8365,0
AlwaysLong,33,105.6463,0,-0.7548,4.0816,0
AlwaysLong,34,104.8488,0,1.1289,5.2105,0
AlwaysLong,35,106.0325,0,-0.9166,4.2939,0
AlwaysLong,36,105.0605,0,0.5102,4.8040,0
AlwaysLong,37,105.5965,0,-1.6460,3.1581,0
AlwaysLong,38,103.8584,0,-1.0229,2.1352,0
AlwaysLong,39,102.7960,0,0.4981,2.6333,0
